Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Camptothecin,CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O,C20H16N2O4,348.35,26,16,0.25,1,5,1,95.31,81.42,2.49,1.74,1.82,1.64,3.29,2.2,-3.49,0.114,0.000327,Soluble,-3.07,0.299,0.000858,Soluble,-5.83,0.00052,1.49E-06,Moderately soluble,High,No,Yes,Yes,No,Yes,No,Yes,-7.19,0,0,0,0,0,0.55,0,0,0,3.84
Vinblastine,COc1cc2N(C)C3C4(c2cc1C1(CC2CN(CCc5c1[nH]c1c5cccc1)CC(C2)(O)CC)C(=O)OC)CCN1C4C(C(C3(O)C(=O)OC)OC(=O)C)(CC)C=CC1,C46H58N4O9,810.97,59,15,0.59,10,11,3,232.52,154.1,4.98,3.88,2.85,2.35,4.72,3.76,-6.84,0.000117,1.44E-07,Poorly soluble,-6.81,0.000125,1.54E-07,Poorly soluble,-8.46,2.80E-06,3.45E-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.49,2,3,1,1,4,0.17,0,2,3,9.65
Cisplatin,Cl[Pt]Cl.N.N,Cl2H6N2Pt,300.05,5,0,0.59,0,11,3,21.16,6.48,4.98,3.88,2.85,2.35,4.72,3.76,-6.84,0.000117,1.44E-07,Poorly soluble,-6.81,0.000125,1.54E-07,Poorly soluble,-8.46,2.80E-06,3.45E-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.49,2,3,1,1,4,0.17,0,2,3,9.65
Cytarabine,OCC1OC(C(C1O)O)n1ccc(nc1=O)N,C9H13N3O5,243.22,17,6,0.56,2,6,4,55.85,130.83,0.32,-2.13,-2.88,-2.29,-2.25,-1.85,-0.14,178,0.732,Very soluble,-0.09,198,0.816,Very soluble,1.01,2490,10.2,Soluble,Low,No,No,No,No,No,No,No,-9.3,0,1,0,0,1,0.55,0,0,1,3.84
Docetaxel,CC(=O)OC12COC1CC(C1(C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(C(c3ccccc3)NC(=O)OC(C)(C)C)O)C(=C(C2(C)C)C(C1=O)O)C)C)O,C43H53NO14,807.88,58,12,0.56,14,14,5,205.25,224.45,3.4,2.81,2.94,1.06,3.51,2.74,-5.85,0.00115,1.42E-06,Moderately soluble,-7.18,5.33E-05,6.60E-08,Poorly soluble,-6.66,0.000176,2.18E-07,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-9.23,2,3,2,1,3,0.17,0,2,2,8.39
Methotrexate,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,C20H22N8O5,454.44,33,16,0.25,10,9,5,118.4,210.54,1.01,-1.85,0.13,-1.13,-0.66,-0.5,-1.19,29.3,0.0644,Very soluble,-2.05,4.02,0.00886,Soluble,-3.99,0.0467,0.000103,Soluble,Low,No,No,No,No,No,No,No,-10.39,1,0,1,1,1,0.11,0,0,2,3.58
Tretinoin,CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,C20H28O2,300.44,22,0,0.45,5,2,1,95.28,37.3,3.68,6.3,5.6,4.28,5.21,5.01,-5.34,0.00137,4.55E-06,Moderately soluble,-6.87,4.03E-05,1.34E-07,Poorly soluble,-3.17,0.205,0.000684,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-3.66,1,1,0,0,1,0.85,0,2,1,4.1
Gefitinib,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,C22H24ClFN4O3,446.9,31,16,0.36,8,7,1,121.66,68.74,4.04,4.11,4.32,2.82,4.31,3.92,-5.05,0.00395,8.83E-06,Moderately soluble,-5.26,0.00246,5.50E-06,Moderately soluble,-7.94,5.14E-06,1.15E-08,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.11,0,0,0,0,0,0.55,0,0,3,3.26
Navitoclax,Clc1ccc(cc1)C1=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(c(c2)S(=O)(=O)C(F)(F)F)NC(CSc2ccccc2)CCN2CCOCC2)CC(CC1)(C)C,C47H55ClF3N5O6S3,974.61,65,24,0.43,18,11,2,262.67,170.42,6.27,9.58,10.92,4.67,7.41,7.77,-11,9.67E-09,9.93E-12,Insoluble,-13.07,8.27E-11,8.49E-14,Insoluble,-14.6,2.44E-12,2.51E-15,Insoluble,Low,No,Yes,No,No,No,No,No,-5.44,3,4,2,2,5,0.17,0,0,3,6.88
Vorinostat,ONC(=O)CCCCCCC(=O)Nc1ccccc1,C14H20N2O3,264.32,19,6,0.43,10,3,3,73.33,78.43,1.84,1.86,2.28,1.83,1.81,1.92,-2.22,1.58,0.00597,Soluble,-3.13,0.197,0.000744,Soluble,-4.25,0.0147,5.57E-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.59,0,0,0,0,0,0.55,0,2,1,1.91
Nilotinib,Cc1ncn(c1)c1cc(NC(=O)c2ccc(c(c2)Nc2nccc(n2)c2cccnc2)C)cc(c1)C(F)(F)F,C28H22F3N7O,529.52,39,29,0.11,8,8,2,141.08,97.62,3.36,4.9,7.32,2.75,4.83,4.63,-6.23,0.00031,5.86E-07,Poorly soluble,-6.69,0.000109,2.06E-07,Poorly soluble,-10.86,7.29E-09,1.38E-11,Insoluble,Low,No,No,No,Yes,Yes,Yes,Yes,-6.05,1,3,0,1,0,0.55,0,0,3,3.81
Refametinib,OCC(CC1(CC1)S(=O)(=O)Nc1c(OC)cc(c(c1Nc1ccc(cc1F)I)F)F)O,C19H20F3IN2O5S,572.34,31,12,0.37,9,8,4,117.62,116.27,2.9,2.78,5.57,2.64,3.91,3.56,-4.83,0.00842,1.47E-05,Moderately soluble,-4.88,0.00759,1.33E-05,Moderately soluble,-7.12,4.34E-05,7.59E-08,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,Yes,-7.82,1,1,0,0,0,0.55,0,1,2,4.48
Temsirolimus,COC1CC(CCC1OC(=O)C(CO)(CO)C)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,C56H87NO16,1030.29,73,0,0.75,11,16,4,279.9,241.96,6.82,5.55,5.34,0.3,3.98,4.4,-9,1.03E-06,1.00E-09,Poorly soluble,-10.39,4.18E-08,4.06E-11,Insoluble,-5.74,0.00189,1.84E-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.64,2,3,2,1,4,0.17,0,3,3,10
Olaparib,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)C1CC1,C24H23FN4O3,434.46,32,16,0.33,6,5,1,125.21,86.37,2.84,1.9,1.94,3.09,4.14,2.78,-3.7,0.0858,0.000197,Soluble,-3.34,0.2,0.000461,Soluble,-6.61,0.000108,2.48E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.6,0,0,0,0,0,0.55,0,0,1,3.15
Veliparib,NC(=O)c1cccc2c1nc([nH]2)C1(C)CCCN1,C13H16N4O,244.29,18,9,0.38,2,3,3,72.87,83.8,0.95,0.48,0.77,0.81,2.08,1.02,-1.9,3.11,0.0127,Very soluble,-1.81,3.79,0.0155,Very soluble,-4.04,0.0221,9.04E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.45,0,0,0,0,0,0.55,0,0,1,2.62
Bosutinib,COc1cc2c(cc1OCCCN1CCN(CC1)C)ncc(c2Nc1cc(OC)c(cc1Cl)Cl)C#N,C26H29Cl2N5O3,530.45,36,16,0.38,9,7,1,150.65,82.88,4.68,5.38,4.43,2.06,4.86,4.28,-6.25,0.000296,5.58E-07,Poorly soluble,-6.87,7.08E-05,1.34E-07,Poorly soluble,-8.75,9.37E-07,1.77E-09,Poorly soluble,High,No,No,No,Yes,Yes,No,No,-5.72,1,2,0,0,1,0.55,0,0,3,3.76
Lenalidomide,O=C1CCC(C(=O)N1)N1Cc2c(C1=O)cccc2N,C13H13N3O3,259.26,19,6,0.31,1,3,2,74.93,92.5,1.06,-0.5,-0.88,0.54,0.61,0.17,-1.3,13,0.0501,Very soluble,-0.97,27.5,0.106,Very soluble,-2.81,0.406,0.00157,Soluble,High,No,No,No,No,No,No,No,-8.24,0,1,0,0,0,0.55,0,2,0,2.33
Axitinib,CNC(=O)c1ccccc1Sc1ccc2c(c1)[nH]nc2C=Cc1ccccn1,C22H18N4OS,386.47,28,21,0.05,6,3,2,112.82,95.97,2.62,4.17,4.42,3.12,4.8,3.82,-5.02,0.00367,9.50E-06,Moderately soluble,-5.89,0.000494,1.28E-06,Moderately soluble,-8.09,3.11E-06,8.05E-09,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.7,0,0,0,0,0,0.55,0,0,2,3.11
AZD7762,NC(=O)Nc1cc(sc1C(=O)NC1CCCNC1)c1cccc(c1)F,C17H19FN4O2S,362.42,25,11,0.29,6,4,4,99.14,124.49,2.37,2.26,2.38,1.82,2.8,2.33,-3.44,0.131,0.000363,Soluble,-4.51,0.0112,3.09E-05,Moderately soluble,-5.27,0.00196,5.42E-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.91,0,0,0,0,0,0.55,0,0,1,3.71
GW441756,O=C1Nc2c(C1=Cc1cn(c3c1cccc3)C)nccc2.Cl,C17H14ClN3O,311.77,22,15,0.06,1,2,1,93.66,46.92,0,2.74,3.19,1.91,2.89,2.15,-3.94,0.036,0.000115,Soluble,-3.38,0.13,0.000417,Soluble,-5.51,0.000963,3.09E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,No,Yes,-6.26,0,0,0,0,0,0.55,0,1,0,2.86
Lestaurtinib,OCC1(O)CC2OC1(C)n1c3c4n2c2ccccc2c4c2c(c3c3c1cccc3)CNC2=O,C26H21N3O4,439.46,33,20,0.27,1,4,3,128.26,88.65,1.95,2.2,2.51,2.21,2.81,2.33,-4.33,0.0204,4.64E-05,Moderately soluble,-3.7,0.0885,0.000201,Soluble,-6.48,0.000146,3.32E-07,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-7.42,0,0,0,0,1,0.55,0,0,1,4.49
SB216763,Clc1ccc(c(c1)Cl)C1=C(C(=O)NC1=O)c1cn(c2c1cccc2)C,C19H12Cl2N2O2,371.22,25,15,0.05,2,2,1,103.21,51.1,2.51,3.9,3.67,3.6,4.59,3.65,-4.91,0.00456,1.23E-05,Moderately soluble,-4.67,0.00791,2.13E-05,Moderately soluble,-7.45,1.32E-05,3.56E-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.8,0,0,0,0,0,0.55,0,1,2,2.99
Tanespimycin,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(C(C=CC=C(C(=O)NC(=CC1=O)C2=O)C)OC)OC(=O)N,C31H43N3O8,585.69,42,0,0.48,7,8,4,161.89,166.28,3.18,2.64,2.16,-0.23,1.24,1.8,-4.67,0.0125,2.13E-05,Moderately soluble,-5.78,0.000966,1.65E-06,Moderately soluble,-4,0.0592,0.000101,Soluble,Low,No,Yes,No,No,No,No,Yes,-8,2,3,1,1,1,0.17,1,2,1,7.88
Motesanib,O=C(c1cccnc1NCc1ccncc1)Nc1ccc2c(c1)NCC2(C)C,C22H23N5O,373.45,28,18,0.23,6,3,3,114.63,78.94,2.82,3.87,2.94,2.11,3.43,3.04,-4.67,0.00793,2.12E-05,Moderately soluble,-5.22,0.00223,5.96E-06,Moderately soluble,-8.45,1.32E-06,3.52E-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.83,0,0,0,0,0,0.55,0,0,2,2.96
KU-55933,O=c1cc(oc(c1)c1cccc2c1Sc1ccccc1S2)N1CCOCC1,C21H17NO3S2,395.49,27,18,0.19,2,3,0,110.83,93.28,3.54,3.94,4.38,3.4,4.9,4.03,-5.14,0.00289,7.32E-06,Moderately soluble,-5.6,0.000997,2.52E-06,Moderately soluble,-7.29,2.01E-05,5.07E-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-5.92,0,0,0,0,0,0.55,0,0,2,3.69
Elesclomol,CN(C(=S)c1ccccc1)NC(=O)CC(=O)NN(C(=S)c1ccccc1)C,C19H20N4O2S2,400.52,27,12,0.16,10,2,2,112.11,128.86,2.16,2.89,2.05,2.92,3.22,2.65,-3.81,0.0616,0.000154,Soluble,-5.26,0.00222,5.54E-06,Moderately soluble,-4.99,0.00407,1.02E-05,Moderately soluble,High,No,No,No,Yes,No,No,No,-6.69,0,0,0,0,0,0.55,0,2,2,2.77
Afatinib,CN(CC=CC(=O)Nc1cc2c(ncnc2cc1OC1COCC1)Nc1ccc(c(c1)Cl)F)C,C24H25ClFN5O3,485.94,34,16,0.29,9,7,2,129.9,88.61,4.27,3.64,4.62,2.3,3.82,3.73,-4.9,0.00611,1.26E-05,Moderately soluble,-5.19,0.00314,6.47E-06,Moderately soluble,-7.59,1.23E-05,2.54E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.68,0,1,0,0,0,0.55,0,1,3,4.08
Vismodegib,O=C(c1ccc(cc1Cl)S(=O)(=O)C)Nc1ccc(c(c1)c1ccccn1)Cl,C19H14Cl2N2O3S,421.3,27,18,0.05,5,4,1,107,84.51,2.41,3.84,5.6,3.24,4.24,3.87,-5.03,0.00389,9.23E-06,Moderately soluble,-5.31,0.00206,4.89E-06,Moderately soluble,-8.51,1.31E-06,3.11E-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.14,0,1,0,0,0,0.55,0,0,2,2.68
Staurosporine,CNC1CC2OC(C1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O,C28H26N4O3,466.53,35,20,0.32,2,4,2,139.39,69.45,3.29,3.24,3.39,2.6,3.02,3.11,-5.06,0.00402,8.62E-06,Moderately soluble,-4.37,0.0198,4.25E-05,Moderately soluble,-7.59,1.19E-05,2.56E-08,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.85,0,1,0,0,1,0.55,0,0,1,4.93
PLX-4720,CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c1c[nH]c2c1cc(Cl)cn2)F,C17H14ClF2N3O3S,413.83,27,15,0.18,6,6,2,98.78,100.3,2.41,3.34,5.61,2.04,4.2,3.52,-4.53,0.0124,2.99E-05,Moderately soluble,-5.12,0.00311,7.53E-06,Moderately soluble,-7.63,9.59E-06,2.32E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.45,0,1,0,0,0,0.55,0,0,1,2.91
BX795,O=C(N1CCCC1)Nc1cccc(c1)Nc1ncc(c(n1)NCCCNC(=O)c1cccs1)I,C23H26IN7O2S,591.47,34,17,0.3,12,4,4,147.43,139.52,4.21,4.62,3.98,2.64,3.73,3.84,-6,0.000597,1.01E-06,Moderately soluble,-7.28,3.14E-05,5.31E-08,Poorly soluble,-8.38,2.47E-06,4.18E-09,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-6.63,1,2,1,1,0,0.55,0,1,3,3.72
NU7441,O=c1cc(oc2c1cccc2c1cccc2c1sc1c2cccc1)N1CCOCC1,C25H19NO3S,413.49,30,23,0.16,2,3,0,126.54,70.92,3.57,5.49,5.28,3.7,6.51,4.91,-6.3,0.000208,5.04E-07,Poorly soluble,-6.74,7.57E-05,1.83E-07,Poorly soluble,-8.84,5.92E-07,1.43E-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-4.92,0,0,0,0,1,0.55,0,0,2,3.54
SL0101,CC(=O)OC1C(C)OC(C(C1OC(=O)C)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(cc1)O,C25H24O12,516.45,37,16,0.32,7,12,4,126.45,182.19,3.31,2.36,1.92,-0.53,1.48,1.71,-4.39,0.0212,4.10E-05,Moderately soluble,-5.83,0.000771,1.49E-06,Moderately soluble,-3.89,0.0668,0.000129,Soluble,Low,No,Yes,No,No,No,No,No,-7.77,2,1,1,1,2,0.17,0,1,1,5.6
Doramapimod,O=C(Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C)Nc1ccc(c2c1cccc2)OCCN1CCOCC1,C31H37N5O3,527.66,39,21,0.35,10,5,2,160.34,80.65,4.99,5.74,5.22,3.82,4.48,4.85,-6.47,0.00018,3.42E-07,Poorly soluble,-7.2,3.32E-05,6.29E-08,Poorly soluble,-9.29,2.68E-07,5.07E-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.44,1,3,0,0,1,0.55,0,0,3,4.12
JNK Inhibitor VIII,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(c1C#N)N,C18H20N4O4,356.38,26,12,0.28,8,6,2,96.44,119.49,2.45,2.16,1.95,0.45,2.28,1.86,-3.22,0.213,0.000597,Soluble,-4.3,0.0178,4.99E-05,Moderately soluble,-5.42,0.00136,3.81E-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-6.94,0,0,0,0,0,0.55,0,0,2,3.23
Wee1 Inhibitor,Oc1ccc2c(c1)c1c([nH]2)cc(c2c1c(=O)[nH]c2=O)c1ccccc1Cl,C20H11ClN2O3,362.77,26,22,0,1,3,3,103.86,85.95,1.77,4.08,3.99,3.2,5.56,3.72,-5.22,0.00219,6.03E-06,Moderately soluble,-5.59,0.000933,2.57E-06,Moderately soluble,-8.16,2.50E-06,6.89E-09,Poorly soluble,High,No,No,Yes,No,No,No,No,-5.62,0,0,0,0,0,0.55,0,0,2,2.48
Mirin,O=C1N=C(SC1=Cc1ccc(cc1)O)N,C10H8N2O2S,220.25,15,6,0,1,3,2,63.57,100.98,1.13,1.52,0.83,1.07,1.97,1.31,-2.39,0.891,0.00404,Soluble,-3.25,0.124,0.000564,Soluble,-2.36,0.953,0.00433,Soluble,High,No,No,No,No,No,No,No,-6.56,0,0,0,0,0,0.55,1,1,1,3.01
PD173074,CCN(CCCCNc1ncc2c(n1)nc(c(c2)c1cc(OC)cc(c1)OC)NC(=O)NC(C)(C)C)CC,C28H41N7O3,523.67,38,16,0.5,15,7,3,153.57,113.53,4.42,4.5,4.78,2.41,4.05,4.03,-5.24,0.00299,5.71E-06,Moderately soluble,-6.6,0.00013,2.48E-07,Poorly soluble,-9.38,2.20E-07,4.21E-10,Poorly soluble,High,No,No,No,Yes,No,Yes,Yes,-6.3,1,3,1,0,0,0.55,0,0,3,4.3
Epirubicin,OCC(=O)C1(O)CC(OC2CC(N)C(C(O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,C27H29NO11,543.52,39,12,0.44,5,12,6,132.66,206.07,2.16,1.27,-0.32,-2.1,1.17,0.44,-3.91,0.0672,0.000124,Soluble,-5.2,0.00346,6.36E-06,Moderately soluble,-3.46,0.187,0.000344,Soluble,Low,No,Yes,No,No,No,No,No,-8.71,3,2,1,1,3,0.17,1,1,1,5.81
