Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Epirubicin,OCC(=O)C1(O)CC(OC2CC(N)C(C(O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,C27H29NO11,543.52,39,12,0.44,5,12,6,132.66,206.07,2.16,1.27,-0.32,-2.1,1.17,0.44,-3.91,6.72E-02,1.24E-04,Soluble,-5.2,3.46E-03,6.36E-06,Moderately soluble,-3.46,1.87E-01,3.44E-04,Soluble,Low,No,Yes,No,No,No,No,No,-8.71,3,2,1,1,3,0.17,1,1,1,5.81
Cyclophosphamide,ClCCN(P1(=O)NCCCO1)CCCl,C7H15Cl2N2O2P,261.09,14,0,1,5,4,1,62.6,51.38,1.92,0.63,1.5,0.97,1.13,1.23,-1.53,7.78E+00,2.98E-02,Very soluble,-1.28,1.36E+01,5.20E-02,Very soluble,-2.71,5.08E-01,1.95E-03,Soluble,High,Yes,No,No,No,No,No,No,-7.45,0,0,0,0,0,0.55,0,2,0,4.15
Pevonedistat,OC1CC(CC1COS(=O)(=O)N)n1ccc2c1ncnc2NC1CCc2c1cccc2,C21H25N5O4S,443.52,31,15,0.43,6,7,3,116.08,140.74,2.42,1.7,2.63,1.7,-0.09,1.67,-3.62,1.06E-01,2.38E-04,Soluble,-4.27,2.38E-02,5.36E-05,Moderately soluble,-4.6,1.12E-02,2.54E-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-7.8,0,0,1,1,0,0.55,0,0,1,4.34
Sapitinib,CNC(=O)CN1CCC(CC1)Oc1cc2c(ncnc2cc1OC)Nc1cccc(c1F)Cl,C23H25ClFN5O3,473.93,33,16,0.35,8,7,2,128.38,88.61,3.63,4.02,3.8,2.16,3.44,3.41,-5.14,3.42E-03,7.22E-06,Moderately soluble,-5.58,1.24E-03,2.61E-06,Moderately soluble,-7.8,7.56E-06,1.60E-08,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.34,0,0,0,0,0,0.55,0,0,3,3.35
Uprosertib,NCC(NC(=O)c1oc(c(c1)c1c(Cl)cnn1C)Cl)Cc1ccc(c(c1)F)F,C18H16Cl2F2N4O2,429.25,28,16,0.22,7,6,2,100.93,86.08,3.11,3.44,4.41,2.64,4.26,3.57,-4.63,1.01E-02,2.35E-05,Moderately soluble,-4.93,5.06E-03,1.18E-05,Moderately soluble,-7.23,2.52E-05,5.87E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.48,0,0,0,0,0,0.55,0,0,1,3.79
LCL161,CNC(C(=O)NC(C(=O)N1CCCC1c1scc(n1)C(=O)c1ccc(cc1)F)C1CCCCC1)C,C26H33FN4O3S,500.63,35,11,0.54,10,6,2,137.6,119.64,4.2,4.34,3.56,1.56,5,3.73,-5.25,2.81E-03,5.61E-06,Moderately soluble,-6.57,1.36E-04,2.71E-07,Poorly soluble,-6.38,2.07E-04,4.13E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.27,1,2,0,0,0,0.55,0,0,3,5.01
Lapatinib,Fc1cccc(c1)COc1ccc(cc1Cl)Nc1ncnc2c1cc(cc2)c1ccc(o1)CNCCS(=O)(=O)C,C29H26ClFN4O4S,581.06,40,27,0.17,11,8,2,153.88,114.73,4.2,5.12,7.34,3.44,5.84,5.19,-6.44,2.10E-04,3.62E-07,Poorly soluble,-7.27,3.10E-05,5.33E-08,Poorly soluble,-12.49,1.90E-10,3.27E-13,Insoluble,Low,No,No,No,Yes,Yes,Yes,Yes,-6.21,1,3,1,1,1,0.55,0,0,3,4.05
Luminespib,CCNC(=O)c1noc(c1c1ccc(cc1)CN1CCOCC1)c1cc(C(C)C)c(cc1O)O,C26H31N3O5,465.54,34,17,0.38,8,7,3,133.78,108.06,3.77,3.51,3.59,1.54,4.4,3.36,-4.78,7.73E-03,1.66E-05,Moderately soluble,-5.46,1.60E-03,3.45E-06,Moderately soluble,-7.19,3.02E-05,6.49E-08,Poorly soluble,High,No,Yes,No,Yes,No,Yes,No,-6.65,0,1,0,0,0,0.55,0,0,3,4.3
Alpelisib,NC(=O)C1CCCN1C(=O)Nc1nc(c(s1)c1ccnc(c1)C(C(F)(F)F)(C)C)C,C19H22F3N5O2S,441.47,30,11,0.47,7,7,2,111.31,129.45,2.14,3.22,4.52,1.59,3.68,3.03,-4.42,1.70E-02,3.85E-05,Moderately soluble,-5.61,1.08E-03,2.45E-06,Moderately soluble,-5.22,2.63E-03,5.96E-06,Moderately soluble,Low,No,Yes,No,Yes,No,No,Yes,-6.71,0,0,0,0,0,0.55,0,0,1,3.95
Taselisib,Cc1nn(c(n1)c1cn2c(n1)c1ccc(cc1OCC2)c1cnn(c1)C(C(=O)N)(C)C)C(C)C,C24H28N8O2,460.53,34,21,0.38,5,6,1,127.86,118.67,3.59,1.81,3.17,1.46,1.7,2.35,-3.96,5.02E-02,1.09E-04,Soluble,-3.92,5.52E-02,1.20E-04,Soluble,-5.39,1.86E-03,4.05E-06,Moderately soluble,High,No,Yes,No,No,Yes,No,Yes,-7.82,0,0,0,0,0,0.55,0,0,1,4.17
